run,horizon_minutes,state_ml_weight,local_weight,structural_weight,supervised_weight,train_paths,cal_paths,test_paths
base-1729,60,0.7823370491812432,1.5127393727851697e-16,0.0,0.9999999999999999,1728,576,576
base-1729,120,0.7342225159363621,9.320923560291688e-18,0.22804891933220045,0.7719510806677996,1440,480,480
base-1729,240,5.9608609865491405e-06,0.0,0.32288785710214635,0.6771121428978537,864,288,288
null-1729,60,0.11246952520994728,7.403594131901562e-17,0.5565045242527578,0.4434954757472421,1728,576,576
null-1729,120,0.34415477839889597,3.329169851141149e-16,0.6418779416083801,0.3581220583916196,1440,480,480
null-1729,240,0.05523624766542936,0.0,1.0,9.71445146547012e-17,864,288,288
base-2718,60,0.13594866268428576,2.7755575615628914e-17,0.0,1.0,1728,576,576
base-2718,120,0.24172494612894194,0.0,0.524130079785804,0.47586992021419605,1440,480,480
base-2718,240,0.40430726487244606,2.1736467219153195e-15,0.8592049636421526,0.14079503635784507,864,288,288
null-2718,60,0.1934970353137455,0.3214905468175333,0.0,0.6785094531824668,1728,576,576
null-2718,120,5.9608609865491405e-06,0.3760934538682292,1.4582519219930035e-17,0.6239065461317708,1440,480,480
null-2718,240,0.01822658702562862,0.9275731147341003,0.0,0.07242688526589967,864,288,288
base-3141,60,0.9999940391390134,0.0,2.220446049250313e-16,0.9999999999999999,1728,576,576
base-3141,120,0.10026578932442737,2.949029909160572e-17,3.469446951953614e-18,1.0,1440,480,480
base-3141,240,0.45459646576499024,2.7755575615628914e-16,0.9999999999999997,6.201636426617085e-17,864,288,288
null-3141,60,0.31414747550261185,3.0655042369439807e-16,0.8618538734254451,0.13814612657455463,1728,576,576
null-3141,120,5.9608609865491405e-06,0.5301898685001446,7.676151381197371e-17,0.46981013149985523,1440,480,480
null-3141,240,0.5929931715950828,0.0,1.0,4.336808689942018e-18,864,288,288
