run,horizon_minutes,side,mean_interval_score80,pinball80
base-1729,60,long,50.41752447806397,3.1796751024732117
base-1729,60,short,50.41752447806397,2.805617853297427
base-1729,120,long,89.22643910622206,4.9692087241613825
base-1729,120,short,89.22643910622206,4.559729362131238
base-1729,240,long,162.2187006988413,10.512993912440287
base-1729,240,short,162.2187006988413,7.925927875958616
cgb_only-1729,60,long,55.42326457801346,3.4182197063646518
cgb_only-1729,60,short,55.42326457801346,3.0676452287703384
cgb_only-1729,120,long,91.17979120007688,5.202196681703342
cgb_only-1729,120,short,91.17979120007688,4.731063020020001
cgb_only-1729,240,long,154.3528681338861,9.452325564913433
cgb_only-1729,240,short,154.3528681338861,7.862152123852427
fast_decay-1729,60,long,44.36182633339189,2.806852862314983
fast_decay-1729,60,short,44.36182633339189,2.7648561025756133
fast_decay-1729,120,long,71.45829957217966,4.865276983105906
fast_decay-1729,120,short,71.45829957217966,4.134003449046342
fast_decay-1729,240,long,126.03638479035742,7.476139606759024
fast_decay-1729,240,short,126.03638479035742,7.815022468929557
liquidity_shock-1729,60,long,79.85784995572803,4.545479831238315
liquidity_shock-1729,60,short,79.85784995572803,4.535001516178362
liquidity_shock-1729,120,long,160.22292244745154,9.030961139134119
liquidity_shock-1729,120,short,160.22292244745154,8.79151308265583
liquidity_shock-1729,240,long,289.42694614596115,17.46734591300315
liquidity_shock-1729,240,short,289.42694614596115,14.290299467965337
decoupling-1729,60,long,61.22847416565854,3.0696976222113834
decoupling-1729,60,short,61.22847416565854,3.741433619505879
decoupling-1729,120,long,120.34194426350507,5.742126435338184
decoupling-1729,120,short,120.34194426350507,6.761904816128222
decoupling-1729,240,long,190.2291961674375,10.447479651112294
decoupling-1729,240,short,190.2291961674375,10.970974874223042
feed_gaps-1729,60,long,42.57490849013212,2.7871898787210334
feed_gaps-1729,60,short,42.57490849013212,2.3991953117616545
feed_gaps-1729,120,long,64.89100811320577,4.015889093918427
feed_gaps-1729,120,short,64.89100811320577,3.430978953406487
null-1729,60,long,39.63832105838201,2.5085712598250627
null-1729,60,short,39.63832105838201,2.3433014106701937
null-1729,120,long,50.42152718748826,3.58920947136025
null-1729,120,short,50.42152718748826,2.9819619206584105
null-1729,240,long,87.45885831810435,6.294086674565243
null-1729,240,short,87.45885831810435,4.5383087322650795
base-2718,60,long,55.778055441084504,2.9497801904643586
base-2718,60,short,55.778055441084504,3.450958346384851
base-2718,120,long,104.30094559279442,4.745917799270179
base-2718,120,short,104.30094559279442,6.287306952508177
base-2718,240,long,199.870136581387,9.930645833650534
base-2718,240,short,199.870136581387,10.308392005830171
null-2718,60,long,44.48052347198218,2.597168047058292
null-2718,60,short,44.48052347198218,2.691009047404436
null-2718,120,long,62.642890242918675,3.767142128020584
null-2718,120,short,62.642890242918675,3.6587519333231167
null-2718,240,long,88.21137567669265,4.942191270339763
null-2718,240,short,88.21137567669265,5.940320909147695
base-3141,60,long,56.323144753772716,3.174663826394834
base-3141,60,short,56.323144753772716,3.2880532993128284
base-3141,120,long,92.48567420310718,5.338217100373971
base-3141,120,short,92.48567420310718,4.621573904464823
base-3141,240,long,182.78964501287783,9.976752047426771
base-3141,240,short,182.78964501287783,9.605830716882997
null-3141,60,long,46.71206267777687,2.4996569867973726
null-3141,60,short,46.71206267777687,3.3049976828347303
null-3141,120,long,60.42725272038958,3.129830790805659
null-3141,120,short,60.42725272038958,4.709193068983296
null-3141,240,long,89.1964278997066,4.558594197676741
null-3141,240,short,89.1964278997066,7.693253825038366
