session_id,realized_sigma_ticks,range_ticks,move_ticks,volume,lag1_return_acf,lag1_absolute_acf
2025-01-06,1.4711292434282934,37.000000000000455,-6.499999999999773,0,-0.12488283167724748,0.160672901059827
2025-01-07,1.4497138152538365,65.99999999999966,-12.000000000001876,0,0.01857493327583203,0.038692238695339456
2025-01-08,1.455018850002336,73.00000000000182,69.0000000000012,0,-0.03322233316521996,0.09009686070971991
2025-01-09,1.7683524211300623,112.00000000000045,-88.00000000000097,0,0.036237819887674605,0.13199303554250205
2025-01-10,1.2910466669227372,87.99999999999812,73.0000000000004,0,-0.10188732535771428,0.12368235415186135
2025-01-13,1.6740983406004901,82.99999999999983,35.00000000000085,0,0.025799490502245826,0.010719863370371722
2025-01-14,1.2399053070674997,84.49999999999989,-72.99999999999898,0,-0.045634872775724956,-0.034415905195966066
2025-01-15,1.471363154952216,128.0000000000001,-98.00000000000182,0,0.005936881607799056,0.08497750059598991
2025-01-16,1.7338377832410747,101.50000000000006,64.00000000000006,0,-0.01830619545365176,0.09947295601801374
2025-01-17,1.405623894099341,56.99999999999932,46.999999999999886,0,0.03952508488610734,0.07028642357112297
2025-01-20,1.892094999314292,71.99999999999989,-9.000000000001762,0,0.001078944430790423,-0.016498883901115494
2025-01-21,1.4627106489625838,64.50000000000102,-9.000000000000341,0,-0.04557980389052098,0.030519719398734664
2025-01-22,1.4342450895979058,43.50000000000023,-8.99999999999892,0,0.06660891008804434,0.14533965355837997
2025-01-23,1.6104917486847716,40.99999999999966,-20.49999999999983,0,-0.05515657809646285,0.21144629931089856
2025-01-24,1.900031818581251,153.0000000000001,-139.00000000000006,0,0.01296226650870251,0.021662525952389777
2025-01-27,1.2303500754993206,110.00000000000085,-106.00000000000023,0,-0.03579701419351697,0.04135181360532697
2025-01-28,1.2496067579075911,64.00000000000006,3.999999999997783,0,0.010334741380391647,0.12019708804273194
2025-01-29,1.7116396624375463,101.49999999999864,-38.999999999998636,0,0.02583655172256205,-0.004766151892769196
2025-01-30,1.2231346661842004,48.49999999999994,-17.499999999999716,0,0.04741162417249124,0.0017137947889696195
2025-01-31,1.3342534447012937,71.99999999999989,57.00000000000074,0,0.09741428396733544,0.05232427215694817
2025-02-03,1.2719865257313931,40.00000000000199,1.0000000000005116,0,-0.05681663161816917,0.08621120924160319
2025-02-04,1.3973067219320796,51.00000000000051,-32.99999999999983,0,-0.044767659911599395,0.07059499841060224
2025-02-05,1.4915150881492154,66.50000000000063,-26.00000000000051,0,0.01965615227801809,0.09398512459959825
2025-02-06,2.3071550683459803,105.9999999999988,-47.99999999999898,0,0.003142425719509919,0.00792386171323445
2025-02-07,1.4164246180711209,55.49999999999926,40.99999999999966,0,-0.07720898303540413,0.018809481632696405
2025-02-10,1.2565486082959016,73.99999999999949,36.000000000001364,0,-0.052186751850714426,-0.013976593818586699
2025-02-11,1.5012158723307027,60.49999999999898,-40.99999999999966,0,-0.19013857703828735,0.07606345604528746
2025-02-12,1.215460527400038,43.99999999999977,42.99999999999926,0,-0.023856689284452892,0.017460795898571583
2025-02-13,1.4826237815648786,73.49999999999994,54.000000000000625,0,-0.04921593634223407,0.06410328643247172
2025-02-14,1.3303833929225777,73.0000000000004,-69.99999999999886,0,-0.07247869075836973,0.07197343264831811
2025-02-17,1.3353173304496524,55.50000000000068,-13.999999999998636,0,-0.061509808456377886,0.11748998664889661
2025-02-18,1.287078805310194,82.50000000000028,-79.00000000000063,0,-0.019886337475118455,0.07674909426669302
2025-02-19,1.443615211272908,90.50000000000011,-29.000000000000625,0,-0.04604633170262177,0.06255237031164006
2025-02-20,1.6581222348969038,97.49999999999943,-85.00000000000227,0,0.04465569546379741,0.10214551209504742
2025-02-21,1.3209410196723579,37.5,-23.99999999999949,0,-0.10373079279345322,0.08297899459571784
2025-02-24,1.702565708876169,55.49999999999926,-2.000000000001023,0,0.0028788472017241967,0.0800026756740147
2025-02-25,1.150746331298886,92.99999999999926,-84.00000000000034,0,0.051612642536985325,0.05007081493708011
2025-02-26,1.5237036312029173,61.000000000001364,-20.999999999999375,0,-0.044418718907421446,0.012390199261787381
2025-02-27,1.504827247637775,81.00000000000023,65.00000000000057,0,0.04531318976462126,0.21642685324926858
2025-02-28,1.401730200741786,82.50000000000028,38.49999999999909,0,0.010272387169959762,0.053095888668809973
