decision_time,session_id,log_loss,brier,endpoint_abs_error_ticks
2025-02-19 14:05:00+00:00,2025-02-19,0.9321564197770619,0.6513466137296166,55.9015897084012
2025-02-19 14:10:00+00:00,2025-02-19,0.9194128117301261,0.6265291661753507,52.94819608664223
2025-02-19 14:15:00+00:00,2025-02-19,0.917511822562791,0.6262670283313485,58.63620065855874
2025-02-19 14:20:00+00:00,2025-02-19,0.9032865998788959,0.6245772596512278,62.436816813735184
2025-02-19 14:25:00+00:00,2025-02-19,0.9092199381138484,0.6252231376031794,60.89181804767779
2025-02-19 14:30:00+00:00,2025-02-19,0.9041606683839344,0.624667063482366,57.34384521400452
2025-02-19 14:35:00+00:00,2025-02-19,0.9493255647740453,0.6317294802867127,66.65439476885341
2025-02-19 14:40:00+00:00,2025-02-19,1.301397893238405,0.9622185211963952,78.31292605397881
2025-02-19 14:45:00+00:00,2025-02-19,1.3021544761835897,0.9619774970304968,80.17520832860899
2025-02-19 14:50:00+00:00,2025-02-19,1.2337789075075511,0.9144318408313548,76.19953449888567
2025-02-19 14:55:00+00:00,2025-02-19,1.2419194114488665,0.9123354823259023,84.13971306158878
2025-02-19 15:00:00+00:00,2025-02-19,1.2436535297069151,0.9119139710363631,84.79865156054156
2025-02-19 15:05:00+00:00,2025-02-19,1.1902927574349942,0.8655867777543768,88.7372985115397
2025-02-19 15:10:00+00:00,2025-02-19,1.6565091969735364,1.1802674388546708,97.37771972840443
2025-02-19 15:15:00+00:00,2025-02-19,1.187602514552105,0.8660576400434259,87.08261170364995
2025-02-19 15:20:00+00:00,2025-02-19,1.2855922334839311,0.943696462164638,91.25052793495009
2025-02-19 15:25:00+00:00,2025-02-19,1.083078450406787,0.7530073218860178,84.05261308154078
2025-02-19 15:30:00+00:00,2025-02-19,1.1121582759074502,0.7828335643521884,80.45998253692522
2025-02-19 15:35:00+00:00,2025-02-19,0.6893534202170827,0.4108082514832905,62.253865878885115
2025-02-19 15:40:00+00:00,2025-02-19,0.9797321337499718,0.6715344024475703,73.96892908118367
2025-02-19 15:45:00+00:00,2025-02-19,0.5704646991608655,0.2960718293554737,49.64502085700412
2025-02-19 15:50:00+00:00,2025-02-19,0.6091108406304792,0.33998800122260064,48.05424411524957
2025-02-19 15:55:00+00:00,2025-02-19,0.49569263748259723,0.2457808238604836,37.354223717407564
2025-02-19 16:00:00+00:00,2025-02-19,0.4097169567574817,0.17592716421889243,24.683402366330526
2025-02-19 16:05:00+00:00,2025-02-19,0.5108568322529593,0.253569002407176,28.678224060368816
2025-02-19 16:10:00+00:00,2025-02-19,0.42923345634945387,0.1869064467272248,18.939562864786723
2025-02-19 16:15:00+00:00,2025-02-19,0.5116653983994871,0.25399680126187457,17.35794241427979
2025-02-19 16:20:00+00:00,2025-02-19,0.5583141844741335,0.2806727264980782,22.22496631263394
2025-02-19 16:25:00+00:00,2025-02-19,0.6405944109561873,0.34246513356870867,15.804976338685716
2025-02-19 16:30:00+00:00,2025-02-19,0.5578447598054868,0.27477266068216427,8.182113856530119
