configuration,horizon_minutes,model,world,gaussian_nll,mse,coverage80
price_only,60,hidden_state_oracle,0,3.7533302167280045,106.50957409282651,0.810126582278481
price_only,60,hidden_state_oracle,1,4.2346235048002105,205.712230980464,0.5569620253164557
price_only,60,hidden_state_oracle,2,3.482902945103898,50.769956473306515,0.9240506329113924
price_only,60,hidden_state_oracle,3,3.628808502284728,80.84355044546668,0.8227848101265823
price_only,60,hidden_state_oracle,4,3.8466525737139294,125.7448844315638,0.759493670886076
price_only,60,hidden_state_oracle,5,3.5068887941102265,55.71384413619982,0.9240506329113924
price_only,60,hidden_state_oracle,6,3.6732899758319038,90.01193169556028,0.8227848101265823
price_only,60,hidden_state_oracle,7,3.5600071678719596,66.66243605989189,0.9113924050632911
price_only,60,hidden_state_oracle,8,3.933052150691794,143.55329315569816,0.7215189873417721
price_only,60,hidden_state_oracle,9,3.446362974586496,43.2384528189726,0.9367088607594937
price_only,60,hidden_state_oracle,10,3.906410083002875,138.06191406269733,0.7215189873417721
price_only,60,hidden_state_oracle,11,3.4731260217473188,48.75476781974283,0.9620253164556962
price_only,60,hidden_state_oracle,12,3.8900269621900927,134.68507679316292,0.7848101265822784
price_only,60,hidden_state_oracle,13,3.7709684797926872,110.14511733073068,0.7721518987341772
price_only,60,hidden_state_oracle,14,3.426741206370513,39.19407574557601,0.9746835443037974
price_only,60,hidden_state_oracle,15,3.69314623143887,94.10464057155784,0.8354430379746836
price_only,60,hidden_state_oracle,16,3.902317537683167,137.21837150931162,0.6075949367088608
price_only,60,hidden_state_oracle,17,3.7938240246143637,114.85603025454564,0.7721518987341772
price_only,60,hidden_state_oracle,18,3.613130348325424,77.61201872374679,0.8227848101265823
price_only,60,hidden_state_oracle,19,3.5538597525737896,65.39535017757468,0.9113924050632911
price_only,60,hidden_state_oracle,20,3.4919944175121516,52.64386213596807,0.9367088607594937
price_only,60,hidden_state_oracle,21,4.006875121198932,158.76945135931518,0.6455696202531646
price_only,60,hidden_state_oracle,22,3.552214354830632,65.05620597630848,0.8734177215189873
price_only,60,hidden_state_oracle,23,3.6310250551690033,81.3004193457847,0.8734177215189873
price_only,60,hidden_state_oracle,24,3.4024675945638836,34.19087532048425,0.9746835443037974
price_only,60,hidden_state_oracle,25,3.880976746211285,132.81967477581784,0.7341772151898734
price_only,60,hidden_state_oracle,26,3.7530927320656997,106.46062450209953,0.8227848101265823
price_only,60,hidden_state_oracle,27,3.747684442028893,105.34588479106193,0.7848101265822784
price_only,60,hidden_state_oracle,28,3.58092073655171,70.97307497684714,0.9240506329113924
price_only,60,hidden_state_oracle,29,3.7602818655467876,107.94242605578516,0.7721518987341772
price_only,60,hidden_state_oracle,30,3.7761202591091307,111.20698585987019,0.759493670886076
price_only,60,hidden_state_oracle,31,3.765521884799064,109.0224823226202,0.7974683544303798
price_only,60,hidden_state_oracle,32,3.500139162967428,54.3226314204374,0.9113924050632911
price_only,60,hidden_state_oracle,33,3.6389942766278534,82.94301017685726,0.8481012658227848
price_only,60,hidden_state_oracle,34,3.9303795230953384,143.00241957193867,0.7088607594936709
price_only,60,hidden_state_oracle,35,3.7145201363022307,98.51016253302521,0.810126582278481
price_only,60,hidden_state_oracle,36,3.486182637142552,51.44595626817373,0.9493670886075949
price_only,60,hidden_state_oracle,37,3.5912801232679206,73.10831914385147,0.8354430379746836
price_only,60,hidden_state_oracle,38,3.596821289801103,74.2504469398784,0.8227848101265823
price_only,60,hidden_state_oracle,39,3.700148527807297,95.54793184795372,0.7974683544303798
price_only,60,hidden_state_oracle,40,3.538361130556665,62.200823014409266,0.8734177215189873
price_only,60,hidden_state_oracle,41,3.6306228570354837,81.21751953307331,0.8734177215189873
price_only,60,hidden_state_oracle,42,3.7811904080064744,112.2520289840885,0.7088607594936709
price_only,60,hidden_state_oracle,43,3.7337545103861793,102.47469114787714,0.810126582278481
price_only,60,hidden_state_oracle,44,3.616917558958567,78.39262665307321,0.7974683544303798
price_only,60,hidden_state_oracle,45,3.899052537273481,136.5453999067417,0.7341772151898734
price_only,60,hidden_state_oracle,46,3.664731797889047,88.24794700869859,0.8227848101265823
price_only,60,hidden_state_oracle,47,3.9818175712660095,153.60466807634597,0.6708860759493671
price_only,60,hidden_state_oracle,48,3.606567694322948,76.2593451473343,0.8227848101265823
price_only,60,hidden_state_oracle,49,3.902215255088721,137.1972893430441,0.6455696202531646
price_only,60,hidden_state_oracle,50,3.403716759079967,34.44834917677186,0.9873417721518988
price_only,60,hidden_state_oracle,51,3.49316386624524,52.88490522609905,0.8860759493670886
price_only,60,hidden_state_oracle,52,3.464467377236692,46.970075280313885,0.9367088607594937
price_only,60,hidden_state_oracle,53,3.7380181088699755,103.35349064077828,0.810126582278481
price_only,60,hidden_state_oracle,54,3.701280706641236,95.78129298383921,0.810126582278481
price_only,60,hidden_state_oracle,55,3.6314051944717978,81.37877246177298,0.8607594936708861
price_only,60,hidden_state_oracle,56,3.7137300864271987,98.34731994074426,0.7848101265822784
price_only,60,hidden_state_oracle,57,3.469581531815862,48.02418871709138,0.9493670886075949
price_only,60,hidden_state_oracle,58,3.58161465879944,71.1161040453051,0.8734177215189873
price_only,60,hidden_state_oracle,59,3.6290104094853364,80.88516692182631,0.8354430379746836
price_only,60,hidden_state_oracle,60,3.6382022300671375,82.77975603401111,0.8227848101265823
price_only,60,hidden_state_oracle,61,3.6058149026242945,76.10418209303855,0.8860759493670886
price_only,60,hidden_state_oracle,62,3.7643763954654816,108.7863776684649,0.8227848101265823
price_only,60,hidden_state_oracle,63,4.34218533117519,227.8825359078907,0.7215189873417721
price_only,60,hidden_state_oracle,64,3.769032090013578,109.7459947673823,0.810126582278481
price_only,60,hidden_state_oracle,65,4.036034652031273,164.77972202764653,0.7215189873417721
price_only,60,hidden_state_oracle,66,3.6995972847526675,95.43431136546315,0.7848101265822784
price_only,60,hidden_state_oracle,67,3.634623149601175,82.04204723931676,0.8227848101265823
price_only,60,hidden_state_oracle,68,3.709379498769334,97.45059051322346,0.8354430379746836
price_only,60,hidden_state_oracle,69,3.549320891181273,64.45981436076342,0.9113924050632911
price_only,60,hidden_state_oracle,70,3.8481356877568014,126.0505792275784,0.7974683544303798
price_only,60,hidden_state_oracle,71,3.5486126275789642,64.31382929746253,0.9113924050632911
price_only,60,hidden_state_oracle,72,3.7593675076664486,107.75396148891133,0.7721518987341772
price_only,60,hidden_state_oracle,73,4.355962804062878,230.7223052326007,0.6075949367088608
price_only,60,hidden_state_oracle,74,3.6183587834166686,78.68968729978977,0.8354430379746836
price_only,60,hidden_state_oracle,75,3.72911728590182,101.51888104033198,0.7721518987341772
price_only,60,hidden_state_oracle,76,3.7260959332103267,100.89612933816052,0.810126582278481
price_only,60,hidden_state_oracle,77,3.6437101797762947,83.91503728287377,0.8354430379746836
price_only,60,hidden_state_oracle,78,3.7432981316402425,104.44179230676627,0.810126582278481
