configuration,horizon_minutes,model,worlds,origins_per_world,gaussian_nll,nll_ci_low,nll_ci_high,endpoint_rmse_ticks,interval80_coverage,mean_interval80_width_ticks
price_only,60,hidden_state_oracle,128,79,3.7310439833369844,3.694271812621922,3.767816154052047,10.095345751794184,0.8057753164556962,26.020032375779806
price_only,60,causal_kalman_observer,128,79,3.8769632283203848,3.8393559004098328,3.9145705562309367,11.681475183364787,0.7948971518987342,29.821663619997512
price_only,60,memory_limited_ridge,128,79,3.885231219716871,3.851426626172498,3.919035813261244,11.764003498229362,0.8143789556962026,31.24990484049495
price_only,120,hidden_state_oracle,128,67,4.342269201163803,4.285810430695004,4.398727971632602,18.60263424890341,0.804804104477612,47.931472367886926
price_only,120,causal_kalman_observer,128,67,4.420245335460031,4.362816383686973,4.477674287233088,20.111839218831886,0.7992070895522388,51.52553433211571
price_only,120,memory_limited_ridge,128,67,4.438144779732322,4.391587439012762,4.484702120451882,20.29931552441752,0.8393190298507462,57.26038418772509
price_only,240,hidden_state_oracle,128,43,4.873271618953374,4.795588710330977,4.950954527575771,31.63682078543517,0.786155523255814,80.81507355127816
price_only,240,causal_kalman_observer,128,43,4.9039972793162,4.826087661231393,4.981906897401006,32.62415524956344,0.7852470930232558,83.39532290776405
price_only,240,memory_limited_ridge,128,43,4.92773295755352,4.866014303059248,4.989451612047792,33.102584653052475,0.833030523255814,93.67390472130141
precise_current_proxy,60,hidden_state_oracle,128,79,3.7310439833369844,3.694271812621922,3.767816154052047,10.095345751794184,0.8057753164556962,26.020032375779806
precise_current_proxy,60,causal_kalman_observer,128,79,3.7523465036040746,3.715677132156305,3.7890158750518443,10.312799635321298,0.8058742088607594,26.5576997768289
precise_current_proxy,60,memory_limited_ridge,128,79,3.7807140828611594,3.7494249131058677,3.812003252616451,10.584008151750094,0.8237737341772152,28.52256641688547
precise_current_proxy,120,hidden_state_oracle,128,67,4.342269201163803,4.285810430695004,4.398727971632602,18.60263424890341,0.804804104477612,47.931472367886926
precise_current_proxy,120,causal_kalman_observer,128,67,4.35158127951779,4.295568173586373,4.407594385449206,18.776469103611817,0.8042210820895522,48.425422455962234
precise_current_proxy,120,memory_limited_ridge,128,67,4.382023575247518,4.338432031919006,4.42561511857603,19.13771748698539,0.8473647388059702,54.80109035786074
precise_current_proxy,240,hidden_state_oracle,128,43,4.873271618953374,4.795588710330977,4.950954527575771,31.63682078543517,0.786155523255814,80.81507355127816
precise_current_proxy,240,causal_kalman_observer,128,43,4.876229556830088,4.799083014694612,4.953376098965564,31.730769096178825,0.7881540697674418,81.16324732778573
precise_current_proxy,240,memory_limited_ridge,128,43,4.908201603012787,4.849467012899623,4.966936193125951,32.40711455537414,0.8399345930232558,92.54420152732062
noisy_current_proxy,60,hidden_state_oracle,128,79,3.7310439833369844,3.694271812621922,3.767816154052047,10.095345751794184,0.8057753164556962,26.020032375779806
noisy_current_proxy,60,causal_kalman_observer,128,79,3.85598109151633,3.8189309040994934,3.8930312789331665,11.438970168219289,0.7973694620253164,29.20593368513036
noisy_current_proxy,60,memory_limited_ridge,128,79,3.8814825567735567,3.8482206788022997,3.9147444347448137,11.719431965946805,0.8154667721518988,31.152673718736295
noisy_current_proxy,120,hidden_state_oracle,128,67,4.342269201163803,4.285810430695004,4.398727971632602,18.60263424890341,0.804804104477612,47.931472367886926
noisy_current_proxy,120,causal_kalman_observer,128,67,4.407666428217291,4.35103711898361,4.464295737450971,19.860402821204747,0.7999067164179104,50.92804319950112
noisy_current_proxy,120,memory_limited_ridge,128,67,4.435376624890231,4.389646223831724,4.481107025948738,20.235082501559635,0.8395522388059702,57.209263599826876
noisy_current_proxy,240,hidden_state_oracle,128,43,4.873271618953374,4.795588710330977,4.950954527575771,31.63682078543517,0.786155523255814,80.81507355127816
noisy_current_proxy,240,causal_kalman_observer,128,43,4.8976943164656666,4.820169103366058,4.975219529565275,32.41928760584605,0.7810683139534884,82.95869690314349
noisy_current_proxy,240,memory_limited_ridge,128,43,4.92668924443153,4.865974817640177,4.987403671222882,33.04770047420579,0.8350290697674418,93.83482651249118
precise_5min_late_proxy,60,hidden_state_oracle,128,79,3.7310439833369844,3.694271812621922,3.767816154052047,10.095345751794184,0.8057753164556962,26.020032375779806
precise_5min_late_proxy,60,causal_kalman_observer,128,79,3.799487982927209,3.7618621629288618,3.8371138029255563,10.810728183107958,0.8021162974683544,27.79886252676398
precise_5min_late_proxy,60,memory_limited_ridge,128,79,3.820250300467346,3.78777290159143,3.8527276993432618,11.01192478491581,0.8223892405063291,29.644868470103805
precise_5min_late_proxy,120,hidden_state_oracle,128,67,4.342269201163803,4.285810430695004,4.398727971632602,18.60263424890341,0.804804104477612,47.931472367886926
