run,horizon_minutes,session_id,loss,baseline_loss,loss_difference
fast_decay-1729,60,2025-02-19,1.103213594247244,1.0006279619938363,0.10258563225340767
fast_decay-1729,60,2025-02-20,1.1075813175323614,1.1116081339419044,-0.0040268164095429776
fast_decay-1729,60,2025-02-21,1.3243223926933116,1.3084933286709342,0.01582906402237739
fast_decay-1729,60,2025-02-24,1.240882238021651,1.2620630510201158,-0.0211808129984647
fast_decay-1729,60,2025-02-25,1.1130526259364026,1.1048968668820727,0.008155759054330145
fast_decay-1729,60,2025-02-26,1.2472363375802031,1.3149603302699227,-0.06772399268971961
fast_decay-1729,60,2025-02-27,1.163505298821753,1.1072153777222975,0.05628992109945541
fast_decay-1729,60,2025-02-28,1.1082666904172511,1.201173116559943,-0.09290642614269187
fast_decay-1729,120,2025-02-19,0.9186340137803378,0.8013367155145052,0.11729729826583263
fast_decay-1729,120,2025-02-20,1.072803851487457,0.9474374377330299,0.1253664137544271
fast_decay-1729,120,2025-02-21,1.5722940466792672,1.6656128929260527,-0.0933188462467857
fast_decay-1729,120,2025-02-24,1.1843093147962167,1.291618581277311,-0.10730926648109416
fast_decay-1729,120,2025-02-25,1.018670985753986,1.079046539365396,-0.06037555361141018
fast_decay-1729,120,2025-02-26,1.3468862658051681,1.4645390799815952,-0.117652814176427
fast_decay-1729,120,2025-02-27,1.2622373323431917,1.2893664692345543,-0.02712913689136252
fast_decay-1729,120,2025-02-28,0.9137049041373609,1.051811799413565,-0.13810689527620396
fast_decay-1729,240,2025-02-19,0.5917828337983854,0.6067146747876377,-0.01493184098925236
fast_decay-1729,240,2025-02-20,0.7794872624569187,0.6067146747876377,0.1727725876692809
fast_decay-1729,240,2025-02-21,1.777073949961322,1.9758707579768924,-0.1987968080155705
fast_decay-1729,240,2025-02-24,1.5923990371965753,1.645771003610622,-0.05337196641404677
fast_decay-1729,240,2025-02-25,1.1483741000595922,1.2209500882474227,-0.07257598818783052
fast_decay-1729,240,2025-02-26,1.5357020240232653,1.7269446708095484,-0.19124264678628308
fast_decay-1729,240,2025-02-27,1.2251312604800386,1.2750565917476162,-0.04992533126757762
fast_decay-1729,240,2025-02-28,0.7740150505758007,0.9963816660192109,-0.22236661544341021
