run,horizon_minutes,session_id,loss,baseline_loss,loss_difference
base-3141,60,2025-02-19,0.7903284436261131,1.0154996240281617,-0.22517118040204867
base-3141,60,2025-02-20,1.0288259724757296,1.0914951845307346,-0.06266921205500488
base-3141,60,2025-02-21,0.7749714893879465,1.0460354810394683,-0.2710639916515217
base-3141,60,2025-02-24,1.2700262591401439,1.2083012535677389,0.06172500557240498
base-3141,60,2025-02-25,0.9689255076026035,1.0283797370970214,-0.059454229494417796
base-3141,60,2025-02-26,1.0593620256173122,1.1309853494300168,-0.07162332381270453
base-3141,60,2025-02-27,0.9831449773204572,1.029772629435151,-0.04662765211469368
base-3141,60,2025-02-28,0.9946667996500802,1.0490202503354602,-0.05435345068538005
base-3141,120,2025-02-19,0.8340384457266106,0.9250091829140362,-0.09097073718742561
base-3141,120,2025-02-20,0.9617164811905813,0.9204720608187481,0.041244420371833145
base-3141,120,2025-02-21,0.6325303716553143,0.8738442894723201,-0.2413139178170057
base-3141,120,2025-02-24,1.3484180279233464,1.2133848064793746,0.13503322144397176
base-3141,120,2025-02-25,0.9794244198160589,0.9963269715805947,-0.016902551764535804
base-3141,120,2025-02-26,1.1804765964429424,1.1209336417859281,0.059542954657014105
base-3141,120,2025-02-27,1.0323342838497256,0.9767458300032589,0.055588453846466726
base-3141,120,2025-02-28,1.090450923719838,1.0809104590825798,0.009540464637258382
base-3141,240,2025-02-19,0.8590295278899375,0.8726948104711746,-0.013665282581237111
base-3141,240,2025-02-20,1.4156582262694706,1.3910564219887414,0.02460180428072919
base-3141,240,2025-02-21,0.8550608110643848,0.8726948104711746,-0.017633999406789867
base-3141,240,2025-02-24,0.9199610148169798,0.9245309716229312,-0.004569956805951542
base-3141,240,2025-02-25,1.2459114039282602,1.2355479385334713,0.010363465394788817
base-3141,240,2025-02-26,0.9095704554517838,0.9504490521988096,-0.04087859674702589
base-3141,240,2025-02-27,1.050195297360861,1.054121374502323,-0.003926077141461932
base-3141,240,2025-02-28,1.3674525000526092,1.3392202608369848,0.02823223921562459
