bin,rows,mean_confidence,accuracy
1,41,0.38248000691419176,0.5853658536585367
2,362,0.4848895416597772,0.5386740331491712
3,149,0.6842439306083105,0.6107382550335569
4,24,0.8249607380990561,0.5416666666666666
