seed,horizon_minutes,sample,model,log_loss,brier
1729,60,all_eligible,clock_only,1.0555316968731978,0.6381700916669559
1729,60,all_eligible,frozen_full,0.9515826452424948,0.56416868312461
1729,60,all_eligible,price_only,0.9802323937123957,0.5863578535681747
1729,60,all_eligible,train_frequency,1.0600458777954005,0.6403664587620028
1729,60,matched_horizons,clock_only,1.0320825300422187,0.6247214211521629
1729,60,matched_horizons,frozen_full,0.893022797448476,0.5258974563941947
1729,60,matched_horizons,price_only,0.8873499632433925,0.5231763937272033
1729,60,matched_horizons,train_frequency,1.029671708591027,0.6242451399605624
1729,120,all_eligible,clock_only,1.0199636161870356,0.6157812717364701
1729,120,all_eligible,frozen_full,0.974542197670293,0.5862949903458853
1729,120,all_eligible,price_only,0.9864395635707512,0.590171185163128
1729,120,all_eligible,train_frequency,1.0119961206223083,0.6119338348765433
1729,120,matched_horizons,clock_only,0.9830222293888811,0.5982402151487124
1729,120,matched_horizons,frozen_full,0.9233047502123498,0.553991418584801
1729,120,matched_horizons,price_only,0.9051432899326317,0.5369779735125786
1729,120,matched_horizons,train_frequency,0.9541823857108785,0.5821074459876543
1729,240,all_eligible,clock_only,1.0882636674612431,0.6625876978290657
1729,240,all_eligible,frozen_full,1.1322561284125108,0.6916287201882045
1729,240,all_eligible,price_only,1.0319147211390063,0.6215603111880749
1729,240,all_eligible,train_frequency,1.092033952566803,0.6553685485253773
1729,240,matched_horizons,clock_only,1.0882636674612431,0.6625876978290657
1729,240,matched_horizons,frozen_full,1.1322561284125108,0.6916287201882045
1729,240,matched_horizons,price_only,1.0319147211390063,0.6215603111880749
1729,240,matched_horizons,train_frequency,1.092033952566803,0.6553685485253773
2718,60,all_eligible,clock_only,1.1048891075426364,0.6784409337553611
2718,60,all_eligible,frozen_full,0.974963136358583,0.5796981713766278
2718,60,all_eligible,price_only,1.0106785322234437,0.604954927739549
2718,60,all_eligible,train_frequency,1.0927105456836008,0.6690980259773662
2718,60,matched_horizons,clock_only,1.1487386500319574,0.7124441191292716
2718,60,matched_horizons,frozen_full,0.9392860985354885,0.5551476430265876
2718,60,matched_horizons,price_only,0.9726952142544159,0.576590526954818
2718,60,matched_horizons,train_frequency,1.1317142261395765,0.698340647505144
2718,120,all_eligible,clock_only,1.0945350215113825,0.6797957259637146
2718,120,all_eligible,frozen_full,1.0174431975489837,0.6123894157009443
2718,120,all_eligible,price_only,1.0153023072476453,0.6151300011795657
2718,120,all_eligible,train_frequency,1.1114082431826442,0.6920177469135802
2718,120,matched_horizons,clock_only,1.0966361027855658,0.6880687716644822
2718,120,matched_horizons,frozen_full,1.0109432881115703,0.6119701962651887
2718,120,matched_horizons,price_only,0.9831598576574538,0.5991265518981166
2718,120,matched_horizons,train_frequency,1.1207352680038212,0.708930362654321
2718,240,all_eligible,clock_only,1.1267336238869485,0.6920198164159422
2718,240,all_eligible,frozen_full,1.0805500053640116,0.6694721498203968
2718,240,all_eligible,price_only,1.015474251018622,0.6223303072065387
2718,240,all_eligible,train_frequency,1.1264653901317319,0.6996527777777778
2718,240,matched_horizons,clock_only,1.1267336238869485,0.6920198164159422
2718,240,matched_horizons,frozen_full,1.0805500053640116,0.6694721498203968
2718,240,matched_horizons,price_only,1.015474251018622,0.6223303072065387
2718,240,matched_horizons,train_frequency,1.1264653901317319,0.6996527777777778
3141,60,all_eligible,clock_only,1.0742691411764484,0.6522064560132605
3141,60,all_eligible,frozen_full,0.9837814343525483,0.5888510085017274
3141,60,all_eligible,price_only,1.036754166085847,0.6259155694968113
3141,60,all_eligible,train_frequency,1.0749361886829691,0.6512573409636488
3141,60,matched_horizons,clock_only,1.0707189823697147,0.6503917359604111
3141,60,matched_horizons,frozen_full,1.0092068469185191,0.6080717003508679
3141,60,matched_horizons,price_only,0.9955471680739402,0.5939646281600448
3141,60,matched_horizons,train_frequency,1.0685482109896234,0.6476303958762002
3141,120,all_eligible,clock_only,1.043586293417722,0.6367717137249653
3141,120,all_eligible,frozen_full,1.0074236937905523,0.607935708637549
3141,120,all_eligible,price_only,1.0003109927595388,0.6030984747405633
3141,120,all_eligible,train_frequency,1.013453405267105,0.6154976851851851
3141,120,matched_horizons,clock_only,1.0338610776604298,0.6312066833815125
3141,120,matched_horizons,frozen_full,1.0360014393302026,0.6295974419938083
3141,120,matched_horizons,price_only,0.993623064468522,0.5950385110586476
3141,120,matched_horizons,train_frequency,1.0098741095337869,0.614369212962963
3141,240,all_eligible,clock_only,1.0617661290819589,0.6451221224207352
3141,240,all_eligible,frozen_full,1.077854904604286,0.6496969908103344
3141,240,all_eligible,price_only,1.0691345878863592,0.6469068801321748
3141,240,all_eligible,train_frequency,1.0800394550782013,0.6531716177983539
3141,240,matched_horizons,clock_only,1.0617661290819589,0.6451221224207352
3141,240,matched_horizons,frozen_full,1.077854904604286,0.6496969908103344
3141,240,matched_horizons,price_only,1.0691345878863592,0.6469068801321748
3141,240,matched_horizons,train_frequency,1.0800394550782013,0.6531716177983539
