seed,horizon_minutes,sample,candidate,reference,metric,sessions,difference,ci_low,ci_high
1729,60,all_eligible,clock_only,train_frequency,log_loss,8,-0.0045141809222028345,-0.03272400866473561,0.028181214071384547
1729,60,all_eligible,clock_only,train_frequency,brier,8,-0.002196367095046864,-0.023082930930238724,0.021342679932369067
1729,60,all_eligible,price_only,train_frequency,log_loss,8,-0.07981348408300497,-0.12542630784427047,-0.025436824178934808
1729,60,all_eligible,price_only,train_frequency,brier,8,-0.05400860519382807,-0.08788231918975209,-0.013699293612139016
1729,60,all_eligible,frozen_full,train_frequency,log_loss,8,-0.10846323255290574,-0.1348354272096466,-0.07919013339358369
1729,60,all_eligible,frozen_full,train_frequency,brier,8,-0.0761977756373928,-0.09699637850237755,-0.05166819081585965
1729,60,matched_horizons,clock_only,train_frequency,log_loss,8,0.002410821451191758,-0.011831109178610614,0.014029812282162185
1729,60,matched_horizons,clock_only,train_frequency,brier,8,0.00047628119160042504,-0.009272149334684931,0.008981424703041186
1729,60,matched_horizons,price_only,train_frequency,log_loss,8,-0.1423217453476344,-0.21962711411750843,-0.05350015420792155
1729,60,matched_horizons,price_only,train_frequency,brier,8,-0.10106874623335912,-0.15859702700453895,-0.034963583043642416
1729,60,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.13664891114255096,-0.21906471575135555,-0.05038894143184337
1729,60,matched_horizons,frozen_full,train_frequency,brier,8,-0.09834768356636775,-0.156864494604015,-0.03453671811449935
1729,120,all_eligible,clock_only,train_frequency,log_loss,8,0.0079674955647272,-0.02626851953610125,0.046306126520605645
1729,120,all_eligible,clock_only,train_frequency,brier,8,0.0038474368599268755,-0.02499954199357288,0.03504750828111645
1729,120,all_eligible,price_only,train_frequency,log_loss,8,-0.025556557051557113,-0.12240879210786437,0.0787936584126886
1729,120,all_eligible,price_only,train_frequency,brier,8,-0.02176264971341514,-0.0885810049679113,0.04819452754713714
1729,120,all_eligible,frozen_full,train_frequency,log_loss,8,-0.03745392295201534,-0.1380344766819291,0.05387324781906471
1729,120,all_eligible,frozen_full,train_frequency,brier,8,-0.02563884453065797,-0.09496964942610864,0.04000524188168861
1729,120,matched_horizons,clock_only,train_frequency,log_loss,8,0.02883984367800259,-0.011762762521929501,0.06943649862502434
1729,120,matched_horizons,clock_only,train_frequency,brier,8,0.01613276916105808,-0.020031919243932907,0.04961968245259601
1729,120,matched_horizons,price_only,train_frequency,log_loss,8,-0.04903909577824678,-0.19396336491181287,0.12525540404908947
1729,120,matched_horizons,price_only,train_frequency,brier,8,-0.045129472475075774,-0.14988382956841972,0.07781399946217613
1729,120,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.030877635498528747,-0.16535361030954826,0.10072506516972395
1729,120,matched_horizons,frozen_full,train_frequency,brier,8,-0.028116027402853218,-0.1343458685714117,0.07336770446995855
1729,240,all_eligible,clock_only,train_frequency,log_loss,8,-0.003770285105560045,-0.03536413748999239,0.025388757317892374
1729,240,all_eligible,clock_only,train_frequency,brier,8,0.007219149303688457,-0.008962352973168853,0.023257355848627884
1729,240,all_eligible,price_only,train_frequency,log_loss,8,-0.06011923142779668,-0.154170441981666,0.05948306736048663
1729,240,all_eligible,price_only,train_frequency,brier,8,-0.03380823733730235,-0.10554655143712732,0.04352230675407244
1729,240,all_eligible,frozen_full,train_frequency,log_loss,8,0.0402221758457077,-0.06681787133648848,0.19211663181302432
1729,240,all_eligible,frozen_full,train_frequency,brier,8,0.03626017166282734,-0.05009102017490519,0.14747081447757535
1729,240,matched_horizons,clock_only,train_frequency,log_loss,8,-0.003770285105560045,-0.03536413748999239,0.025388757317892374
1729,240,matched_horizons,clock_only,train_frequency,brier,8,0.007219149303688457,-0.008962352973168853,0.023257355848627884
1729,240,matched_horizons,price_only,train_frequency,log_loss,8,-0.06011923142779668,-0.154170441981666,0.05948306736048663
1729,240,matched_horizons,price_only,train_frequency,brier,8,-0.03380823733730235,-0.10554655143712732,0.04352230675407244
1729,240,matched_horizons,frozen_full,train_frequency,log_loss,8,0.0402221758457077,-0.06681787133648848,0.19211663181302432
1729,240,matched_horizons,frozen_full,train_frequency,brier,8,0.03626017166282734,-0.05009102017490519,0.14747081447757535
2718,60,all_eligible,clock_only,train_frequency,log_loss,8,0.012178561859035597,-0.01093772120310326,0.03686086109925942
2718,60,all_eligible,clock_only,train_frequency,brier,8,0.009342907777994847,-0.005524607382832947,0.02529049303660992
2718,60,all_eligible,price_only,train_frequency,log_loss,8,-0.08203201346015698,-0.1445985663040755,-0.014249660625257711
2718,60,all_eligible,price_only,train_frequency,brier,8,-0.0641430982378173,-0.11224978539773507,-0.011755581495683572
2718,60,all_eligible,frozen_full,train_frequency,log_loss,8,-0.1177474093250177,-0.18119879575157485,-0.044471899721297004
2718,60,all_eligible,frozen_full,train_frequency,brier,8,-0.08939985460073843,-0.1373370839610947,-0.0330470637586416
2718,60,matched_horizons,clock_only,train_frequency,log_loss,8,0.017024423892380847,-0.014832210995810613,0.052806644737692116
2718,60,matched_horizons,clock_only,train_frequency,brier,8,0.014103471624127617,-0.005207729918801461,0.03516433684925753
2718,60,matched_horizons,price_only,train_frequency,log_loss,8,-0.15901901188516054,-0.25760810129947226,-0.05902873673711148
2718,60,matched_horizons,price_only,train_frequency,brier,8,-0.12175012055032605,-0.19926126854421014,-0.04222049676515603
2718,60,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.19242812760408798,-0.2804655765440629,-0.09658082722416916
2718,60,matched_horizons,frozen_full,train_frequency,brier,8,-0.1431930044785564,-0.21529523369126238,-0.06612927489566706
2718,120,all_eligible,clock_only,train_frequency,log_loss,8,-0.01687322167126172,-0.03237914667699637,-0.0005284511341207415
2718,120,all_eligible,clock_only,train_frequency,brier,8,-0.012222020949865596,-0.02302720808893054,-0.0004448306349775727
