seed,horizon_minutes,model,log_loss,brier,endpoint_crps_ticks,long_mae_crps_ticks,short_mae_crps_ticks,marginal_crps_ticks,long_pinball80_ticks,short_pinball80_ticks,interval80_score_ticks
1729,60,cal_path_mixture,0.9515826452424948,0.56416868312461,7.370745204510319,4.854513343996707,4.189600002061313,5.471619516856113,3.1796751024732246,2.805617853297414,50.41752447806392
1729,60,frozen_mixture,0.9515826452424947,0.56416868312461,7.370745204510318,4.854513343996707,4.189600002061313,5.471619516856113,3.1796751024732246,2.805617853297414,50.41752447806392
1729,60,local,1.035519523207918,0.6219873590999356,8.143159818008906,5.112811042466418,4.743481600266202,5.999817486913842,3.3769197614824846,3.168197180299266,55.67537720226214
1729,60,structural,1.0069853361876304,0.5996120744173454,7.805762899488515,5.0361275061800805,4.60130471923947,5.814398374969355,3.360644663671595,3.066637288073339,54.04248897699478
1729,60,supervised_local,0.9515826452424947,0.56416868312461,7.370745204510318,4.854513343996707,4.189600002061313,5.471619516856113,3.1796751024732246,2.805617853297414,50.41752447806392
1729,60,supervised_uniform,0.951582645242495,0.5641686831246101,7.377436284772024,4.889529612448825,4.192893705890166,5.486619867703672,3.191836404659011,2.7998232554547156,50.54398070456525
2718,60,cal_path_mixture,0.9749631363585829,0.5796981713766278,8.23854520934932,4.745736370387138,5.047136387273207,6.010472655669888,2.949780190464436,3.450958346384822,55.77805544108426
2718,60,frozen_mixture,0.9749631363585829,0.5796981713766278,8.23854520934932,4.745736370387138,5.047136387273207,6.010472655669888,2.949780190464436,3.450958346384822,55.77805544108426
2718,60,local,1.0580171780614829,0.6417167113136371,9.528976015944107,5.044596357506546,5.8566131650147675,6.81006184615514,3.0020122203213746,3.8973686833997743,59.92129387368773
2718,60,structural,1.053671538244691,0.6379005696168045,9.455641357077136,5.0354304646376855,5.820387201983315,6.770486341232712,3.013547105970451,3.880185318385084,60.02737286613026
2718,60,supervised_local,0.9749631363585829,0.5796981713766278,8.23854520934932,4.745736370387138,5.047136387273207,6.010472655669888,2.949780190464436,3.450958346384822,55.77805544108426
2718,60,supervised_uniform,0.9749631363585832,0.579698171376628,8.274220886882315,4.7882007237116015,5.093215953064754,6.0518791878862235,2.970970443068884,3.4846860134187816,56.08399254889945
3141,60,cal_path_mixture,0.9837814343525484,0.5888510085017276,8.473539943275767,5.058698188966661,5.306743492398432,6.279660541546954,3.1746638263948466,3.288053299312834,56.323144753772645
3141,60,frozen_mixture,0.9837814343525482,0.5888510085017276,8.473539943275767,5.058698188966661,5.306743492398432,6.279660541546953,3.1746638263948466,3.288053299312834,56.323144753772645
3141,60,local,1.0545390763300866,0.6354212397559139,9.40433452531586,5.446682630204478,5.577968290066258,6.809661815195532,3.263093622107997,3.398895944778049,60.5921206089023
3141,60,structural,1.0268839606736666,0.6137060709943317,8.925582672322115,5.265769787339907,5.47673730262456,6.556029920762193,3.2056867869564174,3.348667139565475,59.386890259495985
3141,60,supervised_local,0.9837814343525483,0.5888510085017276,8.473539943275767,5.058698188966661,5.306743492398432,6.279660541546954,3.1746638263948466,3.288053299312834,56.323144753772645
3141,60,supervised_uniform,0.9837814343525475,0.5888510085017272,8.494255333271434,5.083465369373329,5.327387222808556,6.301702641817773,3.194098026212609,3.300642279810924,56.806220790263644
