seed,horizon_minutes,model,session_id,log_loss,brier,endpoint_crps_ticks,long_mae_crps_ticks,short_mae_crps_ticks,marginal_crps_ticks,long_pinball80_ticks,short_pinball80_ticks,interval80_score_ticks
1729,60,cal_path_mixture,2025-02-19,0.8898049486343683,0.5188537981646446,7.7150526145759954,5.41141416278685,3.849646076134467,5.6587042844991045,3.101323207135193,2.9154083718159134,53.58785200257239
1729,60,cal_path_mixture,2025-02-20,1.033244448779405,0.6241204115745476,10.136197935820855,7.757872474461146,3.5890960088124038,7.161055473031469,4.504816986001272,2.64037858112334,62.76712118113561
1729,60,cal_path_mixture,2025-02-21,0.9721140026077906,0.5739869171424653,4.535692198701041,2.9136739520257375,2.7400370186735246,3.3964677231334344,2.207439992258819,1.7866867102675492,35.723860947951685
1729,60,cal_path_mixture,2025-02-24,0.9151894075414906,0.5404918305918598,7.212049549706459,4.764321795485476,5.372542621152555,5.78297132211483,3.2946985916203912,3.695420728035377,48.26598366031708
1729,60,cal_path_mixture,2025-02-25,1.0235992191933256,0.6100443587393849,6.921990017598599,4.409654354261121,3.036503506572984,4.789382626144235,2.970181308011721,2.189595859808923,49.15135539298616
1729,60,cal_path_mixture,2025-02-26,0.8311522848216326,0.4851980304936299,7.395420355575802,4.907663025296185,4.762017623841498,5.688367001571162,3.2242999570086672,2.943710731607212,45.42184070100629
1729,60,cal_path_mixture,2025-02-27,1.0915825811282058,0.663997789307863,6.683935796676631,3.8526737516881533,4.957672439641832,5.164760662668872,2.7975796591347595,2.9137091835695035,46.80445896348115
1729,60,cal_path_mixture,2025-02-28,0.8559742692337403,0.49665632898248496,8.365623167427167,4.818833235968991,5.209284721661243,6.1312470416858,3.3370611186149737,3.360032660151495,61.61772297506096
1729,60,frozen_mixture,2025-02-19,0.8898049486343681,0.5188537981646445,7.7150526145759954,5.41141416278685,3.849646076134467,5.6587042844991045,3.101323207135193,2.9154083718159134,53.58785200257239
1729,60,frozen_mixture,2025-02-20,1.0332444487794048,0.6241204115745476,10.136197935820855,7.757872474461146,3.5890960088124038,7.161055473031469,4.504816986001272,2.64037858112334,62.76712118113561
1729,60,frozen_mixture,2025-02-21,0.9721140026077904,0.5739869171424653,4.53569219870104,2.9136739520257375,2.7400370186735246,3.396467723133434,2.207439992258819,1.7866867102675492,35.723860947951685
1729,60,frozen_mixture,2025-02-24,0.9151894075414906,0.5404918305918598,7.212049549706459,4.7643217954854755,5.372542621152556,5.78297132211483,3.2946985916203912,3.695420728035377,48.26598366031708
1729,60,frozen_mixture,2025-02-25,1.0235992191933254,0.6100443587393848,6.921990017598599,4.409654354261121,3.036503506572984,4.789382626144235,2.970181308011721,2.189595859808923,49.15135539298616
1729,60,frozen_mixture,2025-02-26,0.8311522848216325,0.4851980304936299,7.395420355575802,4.907663025296185,4.762017623841497,5.688367001571161,3.2242999570086672,2.943710731607212,45.42184070100629
1729,60,frozen_mixture,2025-02-27,1.0915825811282058,0.663997789307863,6.683935796676631,3.8526737516881533,4.957672439641832,5.164760662668872,2.7975796591347595,2.9137091835695035,46.80445896348115
1729,60,frozen_mixture,2025-02-28,0.8559742692337403,0.49665632898248496,8.365623167427167,4.818833235968991,5.209284721661243,6.1312470416858,3.3370611186149737,3.360032660151495,61.61772297506096
