seed,horizon_minutes,sample,model,session_id,log_loss,brier
1729,60,all_eligible,clock_only,2025-02-19,1.0042506531888111,0.6005544073176102
1729,60,all_eligible,clock_only,2025-02-20,1.084686310605563,0.647296440760974
1729,60,all_eligible,clock_only,2025-02-21,1.114622121239184,0.6715816508463738
1729,60,all_eligible,clock_only,2025-02-24,1.1191270958983304,0.6843637177177304
1729,60,all_eligible,clock_only,2025-02-25,1.0145198742149732,0.6061878878263415
1729,60,all_eligible,clock_only,2025-02-26,1.0410598763868113,0.6414903761315014
1729,60,all_eligible,clock_only,2025-02-27,1.125264862982105,0.6901138223155977
1729,60,all_eligible,clock_only,2025-02-28,0.9407227804698041,0.5637724304195185
1729,60,all_eligible,frozen_full,2025-02-19,0.8898049486343683,0.5188537981646446
1729,60,all_eligible,frozen_full,2025-02-20,1.0332444487794048,0.6241204115745476
1729,60,all_eligible,frozen_full,2025-02-21,0.9721140026077906,0.5739869171424654
1729,60,all_eligible,frozen_full,2025-02-24,0.9151894075414907,0.5404918305918598
1729,60,all_eligible,frozen_full,2025-02-25,1.0235992191933256,0.6100443587393849
1729,60,all_eligible,frozen_full,2025-02-26,0.8311522848216326,0.4851980304936299
1729,60,all_eligible,frozen_full,2025-02-27,1.0915825811282058,0.6639977893078629
1729,60,all_eligible,frozen_full,2025-02-28,0.8559742692337404,0.49665632898248496
1729,60,all_eligible,price_only,2025-02-19,0.9157015008735994,0.5370053743612949
1729,60,all_eligible,price_only,2025-02-20,1.1760717214730059,0.715897795495603
1729,60,all_eligible,price_only,2025-02-21,1.1010155057793893,0.6706353949841977
1729,60,all_eligible,price_only,2025-02-24,0.9553567652838777,0.569930155852401
1729,60,all_eligible,price_only,2025-02-25,0.9957219661685239,0.5968619009648705
1729,60,all_eligible,price_only,2025-02-26,0.8201655321933833,0.478167990904185
1729,60,all_eligible,price_only,2025-02-27,0.9922029117645033,0.595419469089705
1729,60,all_eligible,price_only,2025-02-28,0.8856232461628823,0.5269447468931409
1729,60,all_eligible,train_frequency,2025-02-19,1.0307781813821666,0.616396470979081
