,bin,rows,mean_confidence,accuracy
0,1,5,0.3956040560988323,0.2
1,2,359,0.497986103853541,0.49582172701949867
2,3,104,0.6748210547464755,0.6346153846153847
3,4,12,0.8247801275279862,0.5833333333333334
