bin,rows,mean_confidence,accuracy
1,3,0.39392112871669355,1.0
2,338,0.5055719484171328,0.4615384615384616
3,92,0.6589966090411459,0.6086956521739131
4,47,0.8477720249109114,0.40425531914893625
