,bin,rows,mean_confidence,accuracy
0,1,53,0.38507601725304486,0.320754716981132
1,2,378,0.48946875590688954,0.45502645502645495
2,3,144,0.6773350699168921,0.7430555555555555
3,4,1,0.8090270101351513,1.0
