run,horizon_minutes,session_id,loss,baseline_loss,loss_difference
null-3141,60,2025-02-19,1.102367627316965,1.130299734403375,-0.02793210708640987
null-3141,60,2025-02-20,1.0526042465585332,1.0587594030134224,-0.006155156454889098
null-3141,60,2025-02-21,1.0730045229359892,1.0747865650789652,-0.001782042142975894
null-3141,60,2025-02-24,1.101274294878364,1.1268162565239541,-0.025541961645590028
null-3141,60,2025-02-25,1.0766309033921964,1.0947619323928686,-0.018131029000672212
null-3141,60,2025-02-26,1.059398369090626,1.085936067158267,-0.026537698067640954
null-3141,60,2025-02-27,1.0793756492480653,1.0874454424135074,-0.008069793165442034
null-3141,60,2025-02-28,1.1147229629580098,1.109744446572111,0.00497851638589894
null-3141,120,2025-02-19,1.237136271393566,1.2109346418381925,0.02620162955537349
null-3141,120,2025-02-20,1.0503511047705123,1.034625391227373,0.01572571354313916
null-3141,120,2025-02-21,1.187353861340937,1.0310133119891696,0.15634054935176742
null-3141,120,2025-02-24,1.1582238771531848,1.1533689180473206,0.0048549591058643
null-3141,120,2025-02-25,1.115523310174884,1.0924052864322686,0.02311802374261528
null-3141,120,2025-02-26,0.9930482320643205,1.0409074044408235,-0.04785917237650296
null-3141,120,2025-02-27,1.0903343595389694,1.0804837742474394,0.009850585291530092
null-3141,120,2025-02-28,1.0854740320008391,1.1162338934018279,-0.030759861400988676
null-3141,240,2025-02-19,1.230113251589934,1.2544124861769774,-0.024299234587043576
null-3141,240,2025-02-20,0.998975600993115,1.0093313392236056,-0.010355738230490618
null-3141,240,2025-02-21,1.037752408573384,1.0174998352386835,0.02025257333470068
null-3141,240,2025-02-24,1.18995320356792,1.201293837435817,-0.011340633867897095
null-3141,240,2025-02-25,1.1727785919486398,1.1894896932711145,-0.016711101322474924
null-3141,240,2025-02-26,0.9839209205064012,1.0104982672257594,-0.026577346719358172
null-3141,240,2025-02-27,1.0461557688419092,1.0363055474163094,0.009850221425599699
null-3141,240,2025-02-28,1.1583068595626724,1.1163309722785926,0.04197588728407983
