decision_time,session_id,log_loss,brier,endpoint_abs_error_ticks
2025-02-19 14:05:00+00:00,2025-02-19,0.7525831450842391,0.47246435672924636,47.122820595587925
2025-02-19 14:10:00+00:00,2025-02-19,0.7435646550292552,0.46447024873733156,45.91055754357507
2025-02-19 14:15:00+00:00,2025-02-19,0.7993122774919732,0.5100902302103052,48.83432026486556
2025-02-19 14:20:00+00:00,2025-02-19,0.8014403264847945,0.5116715707883843,53.16539535991578
2025-02-19 14:25:00+00:00,2025-02-19,0.7965060577470429,0.5083664714596706,50.35642639531855
2025-02-19 14:30:00+00:00,2025-02-19,0.7748493838033622,0.48826239797429083,45.62914138510352
2025-02-19 14:35:00+00:00,2025-02-19,0.830935645062322,0.5366825061326745,52.63565668624895
2025-02-19 14:40:00+00:00,2025-02-19,0.8347561167435997,0.5420678285123159,54.203881722573705
2025-02-19 14:45:00+00:00,2025-02-19,0.7987478537762427,0.5065197499022073,53.607925794565936
2025-02-19 14:50:00+00:00,2025-02-19,0.6816795159121632,0.40411084858253304,47.949404576802245
2025-02-19 14:55:00+00:00,2025-02-19,0.6847409244125474,0.4066672686577495,53.978859597645354
2025-02-19 15:00:00+00:00,2025-02-19,0.7481200367388444,0.46189389360691135,57.67650653353496
2025-02-19 15:05:00+00:00,2025-02-19,0.8265292644402173,0.5295533072371388,61.7441721850377
2025-02-19 15:10:00+00:00,2025-02-19,0.8092751874269891,0.511761263425226,65.00790040733301
2025-02-19 15:15:00+00:00,2025-02-19,0.7390355453490175,0.447932115495574,61.50327497118154
2025-02-19 15:20:00+00:00,2025-02-19,0.6559458468023053,0.3741728970422233,59.16083914081817
2025-02-19 15:25:00+00:00,2025-02-19,0.689531481265509,0.4091276376926464,58.92979073941799
2025-02-19 15:30:00+00:00,2025-02-19,0.5716117169995448,0.29883961241658274,65.09329564577786
2025-02-19 15:35:00+00:00,2025-02-19,0.5573191167448518,0.28210592620721403,52.1171347651575
2025-02-19 15:40:00+00:00,2025-02-19,0.5688864889358939,0.28993806645639336,50.799775896913324
2025-02-19 15:45:00+00:00,2025-02-19,0.5669569637949624,0.2884975497042938,46.807291531274515
2025-02-19 15:50:00+00:00,2025-02-19,0.5407744445581506,0.2688774729412819,40.69289051392481
2025-02-19 15:55:00+00:00,2025-02-19,0.5411839690345448,0.27012165918258046,29.47718539948118
2025-02-19 16:00:00+00:00,2025-02-19,0.536449940476483,0.2644251268980221,22.521261267634415
2025-02-19 16:05:00+00:00,2025-02-19,0.5188762093430767,0.2535366597530293,16.053335613870694
2025-02-19 16:10:00+00:00,2025-02-19,0.5242156244563041,0.2579512496073929,16.12717033690685
2025-02-19 16:15:00+00:00,2025-02-19,0.5114506449389872,0.2474775371211243,6.165165100239072
2025-02-19 16:20:00+00:00,2025-02-19,0.5372788435840407,0.26776432286741897,12.500551211264451
2025-02-19 16:25:00+00:00,2025-02-19,0.5300138946194276,0.26184686233196885,5.333424341524598
2025-02-19 16:30:00+00:00,2025-02-19,0.6613810986125123,0.3634600792519602,7.907549166595139
2025-02-19 16:35:00+00:00,2025-02-19,0.649489758146872,0.35442217901840023,11.59908555015653
2025-02-19 16:40:00+00:00,2025-02-19,0.6371441204341994,0.34410483599612907,12.138950224124471
2025-02-19 16:45:00+00:00,2025-02-19,0.6276660567324953,0.33677671675151777,7.238197896631455
2025-02-19 16:50:00+00:00,2025-02-19,0.6340824844974603,0.34212491728554406,9.841031740964517
2025-02-19 16:55:00+00:00,2025-02-19,0.6983913185297196,0.3950770021528178,14.294149369133596
2025-02-19 17:00:00+00:00,2025-02-19,0.6750439066476432,0.3770436542335537,9.393780925856573
2025-02-20 14:05:00+00:00,2025-02-20,0.8294141679721884,0.5067258862568982,29.412168436461226
2025-02-20 14:10:00+00:00,2025-02-20,0.7979320743872254,0.48009355909108137,25.358086565013945
