bin,rows,mean_confidence,accuracy
1,3,0.3965844671892303,0.0
2,254,0.5206226300275368,0.5039370078740157
3,70,0.6739663721646174,0.6714285714285714
4,33,0.8303877442745942,0.8787878787878788
