bin,rows,mean_confidence,accuracy
1,6,0.380560865203875,0.5000000000000001
2,349,0.509422385243319,0.4498567335243554
3,74,0.6504262333429645,0.581081081081081
4,51,0.8419337198478356,0.5098039215686275
