run,horizon_minutes,session_id,loss,baseline_loss,loss_difference
fast_decay-1729,60,2025-02-19,1.0053158295123399,1.0083576533517482,-0.0030418238394083028
fast_decay-1729,60,2025-02-20,1.140518128102772,1.136083242930502,0.004434885172270073
fast_decay-1729,60,2025-02-21,1.1148518809561367,1.1966706839934207,-0.08181880303728409
fast_decay-1729,60,2025-02-24,1.195696548684678,1.209895534474673,-0.014198985789994943
fast_decay-1729,60,2025-02-25,1.1261265080249574,1.1611487410571708,-0.035022233032213176
fast_decay-1729,60,2025-02-26,1.1737981346270832,1.2690987727017564,-0.09530063807467339
fast_decay-1729,60,2025-02-27,1.1406947441489748,1.0742350346071678,0.06645970954180686
fast_decay-1729,60,2025-02-28,1.1229131378086417,1.1048373440771782,0.018075793731463254
fast_decay-1729,120,2025-02-19,0.9764170708885991,0.9055591045470952,0.07085796634150382
fast_decay-1729,120,2025-02-20,1.2542694138382295,0.9853513316941972,0.26891808214403223
fast_decay-1729,120,2025-02-21,1.598667131382936,1.5542014493147955,0.044465682068140465
fast_decay-1729,120,2025-02-24,1.120039011847521,1.208023321759652,-0.08798430991213108
fast_decay-1729,120,2025-02-25,1.3777875689080015,1.3879820705978136,-0.010194501689812202
fast_decay-1729,120,2025-02-26,1.5238765967083445,1.533122872857402,-0.00924627614905768
fast_decay-1729,120,2025-02-27,1.2325771074259835,1.0979352267164484,0.13464188070953512
fast_decay-1729,120,2025-02-28,1.0512562358420972,1.1972492728931436,-0.14599303705104655
fast_decay-1729,240,2025-02-19,0.7829261498538395,0.707133422534685,0.07579272731915443
fast_decay-1729,240,2025-02-20,1.2514188113585438,0.707133422534685,0.5442853888238588
fast_decay-1729,240,2025-02-21,1.5583801078493833,1.4495545999379436,0.10882550791143959
fast_decay-1729,240,2025-02-24,1.5165905874587247,1.63653577010291,-0.11994518264418533
fast_decay-1729,240,2025-02-25,1.323065880778816,1.270492349227619,0.05257353155119712
fast_decay-1729,240,2025-02-26,1.401970973425966,1.63653577010291,-0.23456479667694394
fast_decay-1729,240,2025-02-27,1.3474703865417519,1.4145921332525928,-0.06712174671084084
fast_decay-1729,240,2025-02-28,0.9551770931887273,1.0561771742756938,-0.10100008108696652
