horizon_minutes,observed,rows,mean_up_probability,mean_down_probability,realised_up_rate,realised_down_rate,continuation_probability,realised_continuation
60,up_observed,616,0.3724600660442252,0.308408094845759,0.37337662337662336,0.2922077922077922,0.3724600660442252,0.37337662337662336
60,down_observed,575,0.36429790555703706,0.3452197004718974,0.39304347826086955,0.288695652173913,0.3452197004718974,0.288695652173913
60,balanced,1455,0.36072106321026465,0.32511793504703734,0.32783505154639175,0.35532646048109967,,
120,up_observed,475,0.37531604834360843,0.28818871747767655,0.4126315789473684,0.30526315789473685,0.37531604834360843,0.4126315789473684
120,down_observed,444,0.35186728764148384,0.32725908946932586,0.3963963963963964,0.3153153153153153,0.32725908946932586,0.3153153153153153
120,balanced,1139,0.35305346747490557,0.2992385863949737,0.28094820017559263,0.3169446883230904,,
240,up_observed,225,0.33445136811247644,0.29637029830558215,0.3377777777777778,0.3244444444444444,0.33445136811247644,0.3377777777777778
240,down_observed,198,0.3266309916877785,0.31897712527051186,0.3787878787878788,0.22727272727272727,0.31897712527051186,0.22727272727272727
240,balanced,459,0.3327042894442991,0.2992966746741372,0.24618736383442266,0.30718954248366015,,
