horizon_minutes,rows,endpoint_mae_cents,endpoint_80_interval_coverage,long_adverse_q80_coverage,short_adverse_q80_coverage
60,2646,93.93893070181564,0.7940287226001511,0.8121693121693121,0.7770219198790627
120,2058,128.56690961617392,0.8066083576287657,0.8182701652089407,0.7677356656948493
240,882,192.85177477457748,0.7834467120181405,0.8276643990929705,0.7517006802721088
