horizon_minutes,mixture_endpoint_absolute_error,zero_endpoint_absolute_error,baseline_endpoint_absolute_error,mixture_endpoint_squared_error,zero_endpoint_squared_error,baseline_endpoint_squared_error,mixture_interval_score,baseline_interval_score,mixture_interval_coverage,baseline_interval_coverage,mixture_interval_width,baseline_interval_width,mixture_long_pinball,baseline_long_pinball,mixture_short_pinball,baseline_short_pinball,baseline_long_coverage,baseline_short_coverage
60,93.93893070181561,93.72793480725633,93.74755533817266,19142.301788338,19058.477354597257,19062.10146267926,466.51837420581376,471.2358809002226,0.7940287226001512,0.8057445200302343,297.6341679487663,312.21703549490525,28.426322013047315,28.758555634287085,26.93155328141453,27.397062349120944,0.8167044595616024,0.7883597883597881
120,128.56690961617397,128.45814353741508,128.45936738084828,31370.77600035315,31189.42679278744,31187.190838602462,631.6036328407481,643.5579805415105,0.8066083576287655,0.812439261418853,435.95572929411424,454.8706422977825,37.42932829956566,38.020273230933604,38.25977623171033,38.89623393068884,0.832847424684159,0.7759961127308064
240,192.85177477457756,191.8187105442178,191.87413017450464,68662.62145691243,67855.54943939169,67802.29842212667,1002.3235597968203,1023.9031590494021,0.7834467120181405,0.7913832199546486,659.227356865798,684.5479159994294,56.81984699742315,58.378321010621185,62.01901192472336,62.40315270093637,0.8321995464852606,0.7675736961451246
