horizon_minutes,baseline,sessions,days_mixture_better,mean_difference,median_difference,first_24_days_mean,last_25_days_mean
60,train_frequency,49,24,-0.001639552517506072,0.00042568979265045215,-0.0017131349785157596,-0.0015689133549367717
60,price_only,49,26,0.0008675002015816455,-0.001413185004367934,-0.0016289894530101916,0.003264130269989809
60,direct_full,49,25,-0.0009233052171949673,-0.0010516204606614288,-0.0015588912921725845,-0.00031314258521645486
120,train_frequency,49,24,-0.005621624250335046,0.0026735616756179414,-0.005458752709264649,-0.005777980929762627
120,price_only,49,27,0.003684661653572317,-0.002010099036664492,0.008793449606805675,-0.0012197747815317062
120,direct_full,49,31,-0.002996569215934764,-0.003144060746579358,-0.002178230162444436,-0.0037821747072854794
240,train_frequency,49,27,-0.004095263675497303,-0.005128561545592714,-0.0008219233221745023,-0.007237670414687192
240,price_only,49,25,-0.0030189707332021064,-0.007533246183208497,-0.008329019347220948,0.0020786759362559828
240,direct_full,49,29,-0.00392248302201125,-0.003630138085628287,-0.0055628316071264184,-0.002347748380300687
