bin,rows,mean_confidence,accuracy
1,42,0.38111582426220647,0.35714285714285715
2,366,0.48368494653334015,0.540983606557377
3,135,0.6802588175835105,0.6888888888888888
4,33,0.8420322351895345,0.8787878787878789
